,importance
noofexternalref,0.175987451279386
noofselfref,0.16923199411403764
lineofcode,0.14511116666998145
noofjs,0.09078939211541771
noofimage,0.08892165456698593
noofcss,0.05517172543030232
domain,0.050115580332959125
hascopyrightinfo,0.04361405340307346
hassocialnet,0.04280330473043757
hasdescription,0.04194563822943954
ishttps,0.026331779611193724
domaintitlematchscore,0.01756594552875903
largestlinelength,0.013267547556086896
hassubmitbutton,0.010218023874863863
noofsubdomain,0.006910388827210224
charcontinuationrate,0.0037044096532957886
domainlength,0.003200019499415095
noofemptyref,0.003177542593916717
noofiframe,0.002235833611439294
isresponsive,0.0020239958571450886
title,0.00201621440645812
tldlegitimateprob,0.001206062253892608
robots,0.0010351889908809424
haspasswordfield,0.0009003674530988278
tld,0.0006713066522419347
hasfavicon,0.0005935415460306314
tldlength,0.00042958642054510013
bank,0.00020052143459624826
noofpopup,0.00013826075921547732
pay,0.00011501475267771686
isdomainip,8.21548123874536e-05
hastitle,5.701632410465754e-05
noofobfuscatedchar,5.538737107040443e-05
obfuscationratio,5.332979148652711e-05
crypto,4.345338033167702e-05
hasobfuscation,4.2614971684040035e-05
hasexternalformsubmit,2.2469431938533197e-05
noofselfredirect,1.0061762012621721e-05
